fn_147_0 = .text:0x00000000; // type:function size:0x5E4
fn_147_5E4 = .text:0x000005E4; // type:function size:0x154
fn_147_738 = .text:0x00000738; // type:function size:0x68
fn_147_7A0 = .text:0x000007A0; // type:function size:0x4
fn_147_7A4 = .text:0x000007A4; // type:function size:0x44
fn_147_7E8 = .text:0x000007E8; // type:function size:0xBC
fn_147_8A4 = .text:0x000008A4; // type:function size:0xC
fn_147_8B0 = .text:0x000008B0; // type:function size:0xC
fn_147_8BC = .text:0x000008BC; // type:function size:0x14
fn_147_8D0 = .text:0x000008D0; // type:function size:0xC
fn_147_8DC = .text:0x000008DC; // type:function size:0x24
fn_147_900 = .text:0x00000900; // type:function size:0x28
fn_147_928 = .text:0x00000928; // type:function size:0xFC
fn_147_A24 = .text:0x00000A24; // type:function size:0xBC
fn_147_AE0 = .text:0x00000AE0; // type:function size:0x50
fn_147_B30 = .text:0x00000B30; // type:function size:0x50
fn_147_B80 = .text:0x00000B80; // type:function size:0x50
fn_147_BD0 = .text:0x00000BD0; // type:function size:0x5C
fn_147_C2C = .text:0x00000C2C; // type:function size:0xAC
fn_147_CD8 = .text:0x00000CD8; // type:function size:0x70
fn_147_D48 = .text:0x00000D48; // type:function size:0x6C
fn_147_DB4 = .text:0x00000DB4; // type:function size:0x50
fn_147_E04 = .text:0x00000E04; // type:function size:0x50
fn_147_E54 = .text:0x00000E54; // type:function size:0x50
fn_147_EA4 = .text:0x00000EA4; // type:function size:0xBC
lbl_147_rodata_10 = .rodata:0x00000010; // type:object size:0x4 data:float
lbl_147_rodata_14 = .rodata:0x00000014; // type:object size:0x4 data:float
lbl_147_rodata_18 = .rodata:0x00000018; // type:object size:0x4 data:float
lbl_147_rodata_1C = .rodata:0x0000001C; // type:object size:0x4 data:float
lbl_147_rodata_20 = .rodata:0x00000020; // type:object size:0x4 data:float
lbl_147_rodata_24 = .rodata:0x00000024; // type:object size:0x4 data:float
lbl_147_rodata_28 = .rodata:0x00000028; // type:object size:0x4 data:float
lbl_147_rodata_2C = .rodata:0x0000002C; // type:object size:0x4 data:float
lbl_147_rodata_30 = .rodata:0x00000030; // type:object size:0x4 data:float
lbl_147_rodata_34 = .rodata:0x00000034; // type:object size:0x4 data:float
lbl_147_rodata_38 = .rodata:0x00000038; // type:object size:0x4 data:float
lbl_147_rodata_3C = .rodata:0x0000003C; // type:object size:0x4 data:float
lbl_147_rodata_40 = .rodata:0x00000040; // type:object size:0x4 data:float
lbl_147_rodata_44 = .rodata:0x00000044; // type:object size:0x4 data:float
lbl_147_rodata_48 = .rodata:0x00000048; // type:object size:0x4 data:float
lbl_147_rodata_4C = .rodata:0x0000004C; // type:object size:0x4 data:float
lbl_147_rodata_50 = .rodata:0x00000050; // type:object size:0x4 data:float
lbl_147_rodata_54 = .rodata:0x00000054; // type:object size:0x4 data:float
lbl_147_rodata_58 = .rodata:0x00000058; // type:object size:0x4 data:float
lbl_147_rodata_5C = .rodata:0x0000005C; // type:object size:0x4 data:float
lbl_147_rodata_60 = .rodata:0x00000060; // type:object size:0x4 data:float
lbl_147_rodata_64 = .rodata:0x00000064; // type:object size:0x4 data:float
lbl_147_rodata_68 = .rodata:0x00000068; // type:object size:0x4 data:float
lbl_147_rodata_6C = .rodata:0x0000006C; // type:object size:0x4 data:float
lbl_147_rodata_70 = .rodata:0x00000070; // type:object size:0x8 data:float
lbl_147_rodata_78 = .rodata:0x00000078; // type:object size:0x4 data:float
lbl_147_rodata_7C = .rodata:0x0000007C; // type:object size:0x4 data:float
lbl_147_rodata_80 = .rodata:0x00000080; // type:object size:0x4 data:float
lbl_147_rodata_84 = .rodata:0x00000084; // type:object size:0x4 data:float
lbl_147_rodata_88 = .rodata:0x00000088; // type:object size:0x4 data:float
lbl_147_rodata_8C = .rodata:0x0000008C; // type:object size:0x4 data:float
lbl_147_rodata_90 = .rodata:0x00000090; // type:object size:0x8 data:float
lbl_147_data_0 = .data:0x00000000; // type:object size:0x14
lbl_147_data_14 = .data:0x00000014; // type:object size:0x18
lbl_147_data_2C = .data:0x0000002C; // type:object size:0x2C
lbl_147_data_58 = .data:0x00000058; // type:object size:0x20
lbl_147_data_78 = .data:0x00000078; // type:object size:0x10
lbl_147_data_88 = .data:0x00000088; // type:object size:0x1C
lbl_147_data_A4 = .data:0x000000A4; // type:object size:0x28
lbl_147_data_CC = .data:0x000000CC; // type:object size:0x28
lbl_147_data_F4 = .data:0x000000F4; // type:object size:0x24
lbl_147_data_118 = .data:0x00000118; // type:object size:0x10
lbl_147_data_128 = .data:0x00000128; // type:object size:0x14
lbl_147_data_13C = .data:0x0000013C; // type:object size:0x24
lbl_147_data_160 = .data:0x00000160; // type:object size:0x28
lbl_147_data_188 = .data:0x00000188; // type:object size:0x20
lbl_147_data_1A8 = .data:0x000001A8; // type:object size:0x10
lbl_147_data_1B8 = .data:0x000001B8; // type:object size:0x18
lbl_147_data_1D0 = .data:0x000001D0; // type:object size:0x28
lbl_147_data_1F8 = .data:0x000001F8; // type:object size:0x20
lbl_147_data_218 = .data:0x00000218; // type:object size:0x24
lbl_147_data_23C = .data:0x0000023C; // type:object size:0x10
lbl_147_data_24C = .data:0x0000024C; // type:object size:0x14
lbl_147_data_260 = .data:0x00000260; // type:object size:0x30
lbl_147_data_290 = .data:0x00000290; // type:object size:0x24
lbl_147_data_2B4 = .data:0x000002B4; // type:object size:0x1C
lbl_147_data_2D0 = .data:0x000002D0; // type:object size:0x10
lbl_147_data_2E0 = .data:0x000002E0; // type:object size:0x14
lbl_147_data_2F4 = .data:0x000002F4; // type:object size:0x8
lbl_147_data_2FC = .data:0x000002FC; // type:object size:0xC
lbl_147_data_308 = .data:0x00000308; // type:object size:0x4 data:string
lbl_147_data_30C = .data:0x0000030C; // type:object size:0x4
lbl_147_data_310 = .data:0x00000310; // type:object size:0x8
lbl_147_data_318 = .data:0x00000318; // type:object size:0xC
lbl_147_data_324 = .data:0x00000324; // type:object size:0x8
lbl_147_data_32C = .data:0x0000032C; // type:object size:0xC
lbl_147_data_338 = .data:0x00000338; // type:object size:0x1E0
lbl_147_data_518 = .data:0x00000518; // type:object size:0x190
lbl_147_data_6A8 = .data:0x000006A8; // type:object size:0x20
lbl_147_data_6C8 = .data:0x000006C8; // type:object size:0x20
lbl_147_data_6E8 = .data:0x000006E8; // type:object size:0x190
lbl_147_data_878 = .data:0x00000878; // type:object size:0x130
lbl_147_data_9A8 = .data:0x000009A8; // type:object size:0x20
lbl_147_data_9C8 = .data:0x000009C8; // type:object size:0x20
lbl_147_data_9E8 = .data:0x000009E8; // type:object size:0x1E0
lbl_147_data_BC8 = .data:0x00000BC8; // type:object size:0x1D0
lbl_147_data_D98 = .data:0x00000D98; // type:object size:0x1C0
lbl_147_data_F58 = .data:0x00000F58; // type:object size:0x1A0
lbl_147_data_10F8 = .data:0x000010F8; // type:object size:0x20
lbl_147_data_1118 = .data:0x00001118; // type:object size:0x1D0
lbl_147_data_12E8 = .data:0x000012E8; // type:object size:0x1D0
lbl_147_data_14B8 = .data:0x000014B8; // type:object size:0x1D0
lbl_147_data_1688 = .data:0x00001688; // type:object size:0x1E0
lbl_147_data_1868 = .data:0x00001868; // type:object size:0x20
lbl_147_data_1888 = .data:0x00001888; // type:object size:0x1D0
lbl_147_data_1A58 = .data:0x00001A58; // type:object size:0x1D0
lbl_147_data_1C28 = .data:0x00001C28; // type:object size:0x1D0
lbl_147_data_1DF8 = .data:0x00001DF8; // type:object size:0x1E0
lbl_147_data_1FD8 = .data:0x00001FD8; // type:object size:0x490
lbl_147_data_2468 = .data:0x00002468; // type:object size:0xC
lbl_147_data_2474 = .data:0x00002474; // type:object size:0x8
lbl_147_bss_0 = .bss:0x00000000; // type:object size:0x8 data:4byte
lbl_147_bss_8 = .bss:0x00000008; // type:object size:0x4 data:4byte
lbl_147_bss_C = .bss:0x0000000C; // type:object size:0x4 data:4byte
lbl_147_bss_10 = .bss:0x00000010; // type:object size:0x4 data:4byte
